step,inner_jobs,sample_index,sample_kind,elapsed_s,interval_s,effective_cores,thread_count
build.dagrun,16,1,periodic,0.250396,0.249368,6.3695,40
build.dagrun,16,2,periodic,0.500379,0.249983,6.0212,30
build.dagrun,16,3,periodic,0.750485,0.250106,6.8262,31
build.dagrun,16,4,periodic,1.000526,0.250041,6.431,34
build.dagrun,16,5,periodic,1.250273,0.249747,2.241,7
build.dagrun,16,6,periodic,1.500468,0.250196,0.9952,7
build.dagrun,16,7,periodic,1.750487,0.250019,1.7195,12
build.dagrun,16,8,periodic,2.000553,0.250065,2.0521,20
build.dagrun,16,9,periodic,2.250282,0.249729,2.2228,12
build.dagrun,16,10,periodic,2.500582,0.2503,4.519,29
build.dagrun,16,11,periodic,2.750514,0.249932,5.1034,11
build.dagrun,16,12,periodic,3.000543,0.250029,9.2487,17
build.dagrun,16,13,periodic,3.250345,0.249802,1.4194,7
build.dagrun,16,14,periodic,3.500527,0.250181,0.9943,7
build.dagrun,16,15,periodic,3.750468,0.249942,0.9957,7
build.dagrun,16,16,periodic,4.000511,0.250043,0.9954,7
build.dagrun,16,17,periodic,4.250277,0.249766,0.9965,7
build.dagrun,16,18,periodic,4.500488,0.250211,0.9949,7
build.dagrun,16,19,periodic,4.750379,0.249891,0.9961,7
build.dagrun,16,20,periodic,5.000561,0.250182,0.9952,7
build.dagrun,16,21,periodic,5.250285,0.249724,0.9971,7
build.dagrun,16,22,periodic,5.500482,0.250197,0.9948,7
build.dagrun,16,23,periodic,5.750433,0.249952,0.996,7
build.dagrun,16,24,periodic,6.000375,0.249942,1.4171,11
build.dagrun,16,25,periodic,6.250303,0.249927,6.5143,18
build.dagrun,16,26,periodic,6.500619,0.250316,12.3226,23
build.dagrun,16,27,periodic,6.750596,0.249977,15.1446,22
build.dagrun,16,28,periodic,7.000549,0.249952,10.5492,15
build.dagrun,16,29,periodic,7.250298,0.249749,3.6672,11
build.dagrun,16,30,periodic,7.500632,0.250335,9.5394,25
build.dagrun,16,31,periodic,7.750595,0.249963,15.8238,25
build.dagrun,16,32,periodic,8.000713,0.250118,15.8509,25
build.dagrun,16,33,periodic,8.250404,0.249691,15.8783,25
build.dagrun,16,34,periodic,8.50061,0.250205,14.4475,20
build.dagrun,16,35,periodic,8.75059,0.24998,8.6216,13
build.dagrun,16,36,periodic,9.000467,0.249877,3.0686,12
build.dagrun,16,37,periodic,9.250301,0.249834,1.39,8
build.dagrun,16,38,final,9.36579,0.115489,0.7272,0
