step,inner_jobs,sample_index,sample_kind,elapsed_s,interval_s,effective_cores,thread_count
build.dagrun,158,1,periodic,0.250661,0.249581,6.2523,40
build.dagrun,158,2,periodic,0.500606,0.249945,5.9793,31
build.dagrun,158,3,periodic,0.75034,0.249734,6.7845,25
build.dagrun,158,4,periodic,1.000499,0.250159,6.585,34
build.dagrun,158,5,periodic,1.250501,0.250002,2.7518,7
build.dagrun,158,6,periodic,1.500512,0.250011,0.9946,7
build.dagrun,158,7,periodic,1.750318,0.249806,1.6782,12
build.dagrun,158,8,periodic,2.000464,0.250146,1.955,12
build.dagrun,158,9,periodic,2.250418,0.249954,2.289,12
build.dagrun,158,10,periodic,2.500626,0.250208,4.8645,30
build.dagrun,158,11,periodic,2.750333,0.249707,4.7281,7
build.dagrun,158,12,periodic,3.000741,0.250408,9.17,17
build.dagrun,158,13,periodic,3.25053,0.249789,1.5194,7
build.dagrun,158,14,periodic,3.500543,0.250014,0.9868,7
build.dagrun,158,15,periodic,3.750293,0.249749,0.9836,7
build.dagrun,158,16,periodic,4.000598,0.250305,0.9873,7
build.dagrun,158,17,periodic,4.250459,0.249861,0.9833,7
build.dagrun,158,18,periodic,4.500504,0.250045,0.9853,7
build.dagrun,158,19,periodic,4.750228,0.249724,0.9876,7
build.dagrun,158,20,periodic,5.000543,0.250315,0.99,7
build.dagrun,158,21,periodic,5.250548,0.250004,0.9876,7
build.dagrun,158,22,periodic,5.500527,0.24998,0.983,7
build.dagrun,158,23,periodic,5.750403,0.249876,0.9871,7
build.dagrun,158,24,periodic,6.000578,0.250174,1.2306,11
build.dagrun,158,25,periodic,6.250542,0.249964,5.953,17
build.dagrun,158,26,periodic,6.500532,0.24999,11.7081,23
build.dagrun,158,27,periodic,6.750411,0.249879,15.2164,22
build.dagrun,158,28,periodic,7.000605,0.250194,11.1719,15
build.dagrun,158,29,periodic,7.250481,0.249876,4.2216,11
build.dagrun,158,30,periodic,7.500582,0.250101,9.029,25
build.dagrun,158,31,periodic,7.750398,0.249815,15.8077,25
build.dagrun,158,32,periodic,8.000457,0.25006,15.8337,25
build.dagrun,158,33,periodic,8.250448,0.249991,15.8363,25
build.dagrun,158,34,periodic,8.500589,0.250141,14.6646,20
build.dagrun,158,35,periodic,8.750421,0.249832,8.7517,13
build.dagrun,158,36,periodic,9.00062,0.250199,3.2669,12
build.dagrun,158,37,periodic,9.250608,0.249988,1.5214,26
build.dagrun,158,38,final,9.32775,0.077142,0.5267,0
