timestamp,machine_id,container_class,git_sha,outer_jobs,profile_base_sha,enforcement_kind,runner_name,step,classification,inner_jobs,elapsed_s,returncode,ok,timed_out,cpu_timed_out,oom_kills,peak_bytes,thread_peak,effective_cores,user_s,sys_s,throttled_s,quota_utilization_pct,external_cpu_s,external_cores,co_tenants_start,co_tenants_end,ambient_bucket,load1_start,load1_end,load5_start,load5_end,host_cpu_psi_avg10_start,host_cpu_psi_avg10_end,host_cpu_psi_avg60_start,host_cpu_psi_avg60_end,host_memory_psi_avg10_start,host_memory_psi_avg10_end,host_memory_psi_avg60_start,host_memory_psi_avg60_end,host_io_psi_avg10_start,host_io_psi_avg10_end,host_io_psi_avg60_start,host_io_psi_avg60_end,step_cpu_psi_avg10_start,step_cpu_psi_avg10_end,step_cpu_psi_avg60_start,step_cpu_psi_avg60_end,run_id,started_offset_s,finished_offset_s,memory_max_bytes,memory_events_low,memory_events_high,memory_events_max,memory_events_oom,memory_events_oom_kill,cpu.burst_usec,cpu.nice_usec,cpu.nr_bursts,cpu.nr_periods,cpu.nr_throttled,cpu.system_usec,cpu.throttled_usec,cpu.usage_usec,cpu.user_usec,sweep_id,sweep_logical_cpus,sweep_mode,sweep_pass,sweep_physical_cores,sweep_repeat,sweep_sample,sweep_target_s,sweep_width_source,workload_digest
2026-08-28T20:26:13,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,build.dagrun,cpu-bound,1,49.774,0,true,false,false,0,399757312,10,0.9887,47.758,1.453,0.232,98.87,84.190,1.691,0,0,moderate,2.390,2.880,3.080,3.090,0.00,0.00,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.05,0.00,0.02,0.00,0.02,18d011efb54f296a003f0e84,0.002,49.776,17179869184,0,0,0,0,0,0,0,0,498,45,1452837,232270,49210347,47757509,18d011e41db30ce5003f0e84,158,target-time,1,88,1,1,0.000000,power-of-two,2f4c4ac59ef7e17b
2026-08-28T20:27:03,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,build.dagrun,cpu-bound,1,49.759,0,true,false,false,0,407584768,10,0.9890,47.734,1.479,0.311,98.90,75.178,1.511,0,0,moderate,2.880,2.910,3.090,3.060,0.00,0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.00,0.00,0.00,0.00,18d011fb4c69811d003f0e84,0.001,49.761,17179869184,0,0,0,0,0,0,0,0,497,47,1478604,311244,49212306,47733701,18d011e41db30ce5003f0e84,158,target-time,1,88,2,2,0.000000,power-of-two,2f4c4ac59ef7e17b
2026-08-28T20:27:52,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,build.dagrun,cpu-bound,1,49.811,0,true,false,false,0,408268800,10,0.9877,47.658,1.541,0.302,98.77,69.281,1.391,0,0,moderate,2.910,2.810,3.060,3.030,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,18d01206e684fee5003f0e84,0.001,49.812,17179869184,0,0,0,0,0,0,0,0,498,44,1541284,301649,49199484,47658200,18d011e41db30ce5003f0e84,158,target-time,1,88,3,3,0.000000,power-of-two,2f4c4ac59ef7e17b
2026-08-28T20:28:19,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,build.dagrun,cpu-bound,2,26.439,0,true,false,false,0,441335808,18,1.8626,47.876,1.370,0.156,93.13,41.315,1.563,0,0,moderate,2.810,3.070,3.030,3.070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,18d0120d0f92fa7e003f0e84,0.001,26.440,17179869184,0,0,0,0,0,0,0,0,265,35,1369846,155766,49245414,47875568,18d011e41db30ce5003f0e84,158,target-time,1,88,1,4,0.000000,power-of-two,2f4c4ac59ef7e17b
2026-08-28T20:28:46,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,build.dagrun,cpu-bound,2,26.802,0,true,false,false,0,437182464,18,1.8371,47.769,1.468,0.175,91.85,42.042,1.569,0,0,moderate,3.070,3.170,3.070,3.100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,18d012134e3224e3003f0e84,0.001,26.803,17179869184,0,0,0,0,0,0,0,0,268,39,1468488,175088,49237932,47769444,18d011e41db30ce5003f0e84,158,target-time,1,88,2,5,0.000000,power-of-two,2f4c4ac59ef7e17b
2026-08-28T20:29:13,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,build.dagrun,cpu-bound,2,26.863,0,true,false,false,0,438120448,18,1.8367,47.911,1.428,0.206,91.84,42.300,1.575,0,0,moderate,3.170,3.370,3.100,3.150,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,18d01219906c4e59003f0e84,0.001,26.864,17179869184,0,0,0,0,0,0,0,0,269,41,1428445,206184,49339686,47911240,18d011e41db30ce5003f0e84,158,target-time,1,88,3,6,0.000000,power-of-two,2f4c4ac59ef7e17b
2026-08-28T20:29:28,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,build.dagrun,cpu-bound,4,15.079,0,true,false,false,0,496488448,28,3.2867,48.128,1.432,0.133,82.17,25.990,1.724,0,0,moderate,3.370,3.930,3.150,3.280,0.01,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18d0121d14372f24003f0e84,0.001,15.080,17179869184,0,0,0,0,0,0,0,0,151,20,1431764,132880,49559781,48128017,18d011e41db30ce5003f0e84,158,target-time,1,88,1,7,0.000000,power-of-two,2f4c4ac59ef7e17b
2026-08-28T20:29:43,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,build.dagrun,cpu-bound,4,15.069,0,true,false,false,0,491479040,26,3.2825,48.083,1.382,0.107,82.06,24.185,1.605,0,0,moderate,3.930,4.170,3.280,3.360,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18d01220985ea53d003f0e84,0.017,15.086,17179869184,0,0,0,0,0,0,0,0,150,14,1382285,106989,49465257,48082971,18d011e41db30ce5003f0e84,158,target-time,1,88,2,8,0.000000,power-of-two,2f4c4ac59ef7e17b
2026-08-28T20:29:58,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,build.dagrun,cpu-bound,4,15.027,0,true,false,false,0,489947136,30,3.2878,47.960,1.445,0.186,82.20,26.895,1.790,0,0,moderate,4.170,4.800,3.360,3.540,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18d0122419001f48003f0e84,0.001,15.028,17179869184,0,0,0,0,0,0,0,0,150,24,1445157,185681,49404772,47959615,18d011e41db30ce5003f0e84,158,target-time,1,88,3,9,0.000000,power-of-two,2f4c4ac59ef7e17b
2026-08-28T20:30:09,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,build.dagrun,cpu-bound,8,10.993,0,true,false,false,0,597426176,35,4.5370,48.434,1.444,0.045,56.71,34.893,3.174,0,0,busy,4.800,5.310,3.540,3.690,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18d01226a945f688003f0e84,0.001,10.995,17179869184,0,0,0,0,0,0,0,0,110,9,1443669,44760,49877174,48433505,18d011e41db30ce5003f0e84,158,target-time,1,88,1,10,0.000000,power-of-two,2f4c4ac59ef7e17b
